time,KPI.ST_MpSL_PeakPower_On_MEAN.1h.median,KPI.ST_MPSL_PK2PK_MEAN.1h.median,KPI.ST_MPSL_PRELASE_MEAN.1h.median,KPI.ST_MPSL_PZT_THREESIGMA.1h.median,KPI.ST_MPSL_PK2PK_THREESIGMA.1h.median,KPI.ST_MpSL_PeakPower_Off_THREESIGMA.1h.median,KPI.ST_MPSL_PK2PK_OutOfSpec.1h.median,KPI.ST_MPSL_PEAKPOWER_MEAN.1h.median
2018-04-01 23:00:00+00:00,0,3.96372,7.58E-06,0,2.58021,0.316049,5424,15.3516
2018-04-02 00:00:00+00:00,0,3.991285,7.49E-06,0,2.500125,0.3257435,10203.5,15.4034
2018-04-02 01:00:00+00:00,0,4.02107,7.41E-06,0,2.48729,0.332668,10909,15.44545
2018-04-02 02:00:00+00:00,0,4.002985,7.59E-06,0,2.61186,0.316418,10239.5,15.35345
2018-04-02 03:00:00+00:00,0,3.98989,7.52E-06,0,2.53264,0.3226915,10170,15.3846
2018-04-02 04:00:00+00:00,0,3.99664,7.49E-06,0,2.52112,0,10273,15.4048
2018-04-02 15:00:00+00:00,0,2.108115,7.60E-06,0.318145,0.8706985,0,0,66.9916
2018-04-02 20:00:00+00:00,0,1.51721,7.42E-06,0.318145,0.861892,1.27193,0,67.7586
2018-04-02 21:00:00+00:00,0,4.047035,7.38E-06,0,2.488385,0.333786,11469,15.4958
2018-04-02 22:00:00+00:00,0,3.996955,7.51E-06,0,2.52112,0.324652,10273,15.3973
2018-04-02 23:00:00+00:00,0,4.02875,7.40E-06,0,2.488775,0.331186,10879,15.45415
2018-04-03 00:00:00+00:00,0,4.22715,7.30E-06,0,2.481075,0.329062,15074.5,15.55245
2018-04-03 01:00:00+00:00,0,4.21161,7.31E-06,0,2.48209,0.3339205,14778,15.54805
2018-04-03 02:00:00+00:00,0,4.09895,7.33E-06,0,2.483055,0.3316315,12627,15.49935
2018-04-03 03:00:00+00:00,0,4.020985,7.39E-06,0,2.48423,0.3253505,11107.5,15.459
2018-04-03 04:00:00+00:00,0,3.99416,7.54E-06,0,2.537885,0.3203985,10202.5,15.3794
2018-04-03 05:00:00+00:00,0,4.003145,7.51E-06,0,2.52567,0.32559,10480.5,15.39665
2018-04-03 06:00:00+00:00,0,3.994335,7.51E-06,0,2.53179,0.3278645,10259,15.39215
2018-04-03 07:00:00+00:00,0,4.007905,7.52E-06,0,2.51617,0.324327,10590.5,15.38885
2018-04-03 08:00:00+00:00,0,4.00529,7.53E-06,0,2.55769,0.323953,10284,15.3808
2018-04-03 09:00:00+00:00,0,4.006385,7.53E-06,0,2.544105,0.3187915,10281.5,15.38135
2018-04-03 10:00:00+00:00,0,4.04567,7.37E-06,0,2.479695,0.3295025,11368,15.46765
2018-04-03 11:00:00+00:00,0,4.05161,7.37E-06,0,2.49115,0.330084,11037,15.4724
2018-04-03 12:00:00+00:00,0,4.024965,7.48E-06,0,2.50867,0.3274575,10757.5,15.4069
2018-04-03 13:00:00+00:00,0,4.02134,7.50E-06,0,2.52692,0.321278,10655,15.3935
2018-04-03 14:00:00+00:00,0,4.03296,7.40E-06,0,2.490035,0.326781,11136.5,15.4494
2018-04-03 15:00:00+00:00,0,4.02581,7.44E-06,0,2.49493,0.328988,10519,15.4323
2018-04-03 16:00:00+00:00,0,4.11526,7.70E-06,0,2.79596,0.308117,11666,15.2974
2018-04-03 17:00:00+00:00,0,4.113485,7.70E-06,0,2.760925,0.30693,11517,15.30335
