time,KPI.ST_PpSL_PeakPower_On_MEAN.1h.median,KPI.ST_PPSL_PK2PK_MEAN.1h.median,KPI.ST_PPSL_PRELASE_MEAN.1h.median,KPI.ST_PPSL_PZT_THREESIGMA.1h.median,KPI.ST_PPSL_PK2PK_THREESIGMA.1h.median,KPI.ST_PpSL_PeakPower_Off_THREESIGMA.1h.median,KPI.ST_PPSL_PK2PK_OutOfSpec.1h.median,KPI.ST_PPSL_PEAKPOWER_MEAN.1h.median
2018-04-01 23:00:00+00:00,0,-100,7.80E-06,0,0,0.711516,0,-42.8413
2018-04-02 00:00:00+00:00,0,-100,7.56E-06,0,0,0.7102075,0,-42.5352
2018-04-02 01:00:00+00:00,0,-100,7.45E-06,0,0,0.6833635,0,-42.2912
2018-04-02 02:00:00+00:00,0,-100,7.54E-06,0,0,0.710645,0,-42.50575
2018-04-02 03:00:00+00:00,0,-100,7.60E-06,0,0,0.6978125,0,-42.58305
2018-04-02 04:00:00+00:00,0,-100,7.64E-06,0,0,0.6940595,0,-42.64865
2018-04-02 05:00:00+00:00,0,1.72953,5.17E-06,0,0.924795,15.7028,0.5,1037.83
2018-04-02 06:00:00+00:00,0,1.19319,5.50E-06,0,0.3856095,10.21555,0,1041.925
2018-04-02 07:00:00+00:00,0,1.22747,5.42E-06,0,0.4321475,10.30395,0,1044.58
2018-04-02 10:00:00+00:00,0,1.18585,5.57E-06,0.3181445,0.3894465,10.643,0,1048.33
2018-04-02 11:00:00+00:00,0,1.18384,5.71E-06,0.318145,0.37448,10.414,0,1045.12
2018-04-02 12:00:00+00:00,0,1.18931,5.55E-06,0.318145,0.396265,10.8467,0,1049.4
2018-04-02 13:00:00+00:00,0,1.186195,5.60E-06,0.3181465,0.388497,10.6574,0,1048.275
2018-04-02 14:00:00+00:00,0,1.189675,5.65E-06,0.318143,0.379001,10.66485,0,1045.345
2018-04-02 15:00:00+00:00,0,1.18439,5.81E-06,0.318145,0.3685875,10.36405,0,1039.38
2018-04-02 20:00:00+00:00,0,1.52217,5.16E-06,0.318145,0.745654,13.0488,0,998.489
2018-04-02 21:00:00+00:00,0,-100,7.54E-06,0,0,0.7081575,0,-42.52335
2018-04-02 22:00:00+00:00,0,-100,7.54E-06,0,0,0.7042775,0,-42.52605
2018-04-02 23:00:00+00:00,0,-100,7.61E-06,0,0,0.694618,0,-42.61875
2018-04-03 00:00:00+00:00,0,-100,7.65E-06,0,0,0.698307,0,-42.667
2018-04-03 01:00:00+00:00,0,-100,7.64E-06,0,0,0.7031555,0,-42.64895
2018-04-03 02:00:00+00:00,0,-100,7.65E-06,0,0,0.6920815,0,-42.6614
2018-04-03 03:00:00+00:00,0,-100,7.46E-06,0,0,0.687463,0,-42.3983
2018-04-03 04:00:00+00:00,0,-100,7.51E-06,0,0,0.706363,0,-42.4926
2018-04-03 05:00:00+00:00,0,-100,7.57E-06,0,0,0.704142,0,-42.57205
2018-04-03 06:00:00+00:00,0,-100,7.56E-06,0,0,0.7018005,0,-42.5501
2018-04-03 07:00:00+00:00,0,-100,7.44E-06,0,0,0.690798,0,-42.31125
2018-04-03 08:00:00+00:00,0,-100,7.48E-06,0,0,0.690974,0,-42.4141
2018-04-03 09:00:00+00:00,0,-100,7.56E-06,0,0,0.69399,0,-42.5479
2018-04-03 10:00:00+00:00,0,-100,7.58E-06,0,0,0.712641,0,-42.57965
2018-04-03 11:00:00+00:00,0,-100,7.63E-06,0,0,0.702166,0,-42.6427
2018-04-03 12:00:00+00:00,0,-100,7.61E-06,0,0,0.691539,0,-42.6245
2018-04-03 13:00:00+00:00,0,-100,7.64E-06,0,0,0.714642,0,-42.6518
2018-04-03 14:00:00+00:00,0,-100,7.72E-06,0,0,0.703212,0,-42.75385
2018-04-03 15:00:00+00:00,0,-100,7.65E-06,0,0,0.691316,0,-42.6719
2018-04-03 16:00:00+00:00,0,-100,7.61E-06,0,0,0.696894,0,-42.6145
2018-04-03 17:00:00+00:00,0,-100,7.55E-06,0,0,0.701407,0,-42.5243
2018-04-03 18:00:00+00:00,0,-100,7.57E-06,0,0,0.703752,0,-42.566
2018-04-03 19:00:00+00:00,0,-100,7.51E-06,0,0,0.697253,0,-42.4729
2018-04-04 14:00:00+00:00,0,1.95479,5.16E-06,0.318152,2.08659,52.684,124,1172.64
2018-04-04 15:00:00+00:00,0,7.04999,2.70E-06,0.3181485,6.30214,42.9815,29314,1078.005
2018-04-04 16:00:00+00:00,0,1.22872,6.09E-06,0.318149,0.3903815,14.87755,0,1081.855
2018-04-04 17:00:00+00:00,0,1.23104,6.00E-06,0.318161,0.388596,11.2375,0,1089.41
2018-04-04 18:00:00+00:00,0,4.081775,4.97E-06,0.3182505,2.23647,24.709,3544,1122.17
